STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-01,,,29,36,22,29,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-02,,,35,41,29,39,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-03,,,39,42,35,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-04,,,34,38,30,33,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-05,,,32,35,29,31,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-06,,,29,32,25,27,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-07,,,25,29,21,22,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-08,,,23,25,21,24,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-09,,,29,32,21,32,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-10,,,34,41,30,31,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-11,,,31,33,27,29,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-12,,,30,37,27,28,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-13,,,29,40,26,26,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-14,,,24,35,17,17,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-15,,,20,26,16,23,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-16,,,25,29,22,26,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-17,,,30,34,26,34,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-18,,,32,38,29,30,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-19,,,33,36,29,30,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-20,,,29,34,24,24,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-21,,,26,35,22,27,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-01-22,,,31,36,26,35,,,,
